Employee Identifier,Year End Date,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Code,Job,Salaries,Overtime,Other Salaries,Total Salary
22508,31-03-2017,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",9703,Emp & Training Spec 2,6372,0,0,6372
1203,31-03-2017,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1043,IS Engineer-Senior,141540.35,0,22769.83,164310.18
14154,31-03-2014,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,110785.52,0,21190.41,131975.93
22070,31-03-2016,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2588,Health Worker 4,34340.5,0,684,35024.5
7788,31-03-2016,4,Community Health,DPH,DPH Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1070,IS Project Director,146756.8,0,0,146756.8
2430,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,6,"Electrical Workers, Local 6",7371,Electrical Transit System Mech,89960,23174.99,16934.1,130069.09
13778,31-03-2013,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",1406,Senior Clerk,61474.33,36.95,380.12,61891.4
32373,31-03-2014,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,6,"Electrical Workers, Local 6",9240,Airport Electrician,102800.43,1437.93,1920,106158.36
8889,31-03-2014,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2328,Nurse Practitioner,32355.73,0,2355.99,34711.72
9373,31-03-2016,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,351,Municipal Executive Association - Miscellaneous,933,Manager V,167838.51,0,0,167838.51
38332,31-03-2017,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q003,Police Officer 2,83737.5,22663.33,10276.43,116677.26
13567,31-03-2013,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,790,"SEIU - Miscellaneous, Local 1021",2708,Custodian,23806.55,101.7,99.51,24007.76
20866,31-03-2014,1,Public Protection,POL,POL Police,21,"Prof & Tech Engineers - Miscellaneous, Local 21",8262,Criminalist III,101297.56,0,0,101297.56
51259,31-03-2016,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5211,Eng/Arch/Landscape Arch Sr,168695.45,0,0,168695.45
12259,31-03-2015,4,Community Health,DPH,DPH Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2802,Epidemiologist 1,44055.1,0,1119.05,45174.15
50165,31-03-2015,5,Culture & Recreation,LIB,LIB Public Library,790,"SEIU - Miscellaneous, Local 1021",3602,Library Page,24912.69,0,862.56,25775.25
18851,31-03-2016,1,Public Protection,ECD,DEM Emergency Management,790,"SEIU - Miscellaneous, Local 1021",8238,Public Safetycomm Disp,29591.98,5133.93,6761.15,41487.06
38669,31-03-2017,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5366,Engineering Associate 2,102338.11,2548.66,0,104886.77
18312,31-03-2017,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,20595.18,0,1507.83,22103.01
25448,31-03-2017,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,16084.46,0,97.72,16182.18
16622,31-03-2014,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",1635,Health Care Billing Clerk 1,53740.5,1499.33,0,55239.83
25337,31-03-2016,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,122168.57,5890.67,11175.51,139234.75
25152,31-03-2016,1,Public Protection,POL,POL Police,252,"Transport Workers - Auto Svc Workers, Local 250-A",7410,Automotive Service Worker,44490.6,1500.68,0,45991.28
22870,31-03-2013,1,Public Protection,JUV,JUV Juvenile Probation,790,"SEIU - Miscellaneous, Local 1021",8320,"Counselor, Juvenile Hall",18566.68,0,251.76,18818.44
38932,31-03-2017,4,Community Health,DPH,DPH Public Health,856,"Teamsters - Miscellaneous, Local 856",2464,Senior Microbiologist,110856.25,0,0,110856.25
16395,31-03-2015,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1043,IS Engineer-Senior,0,0,6218.2,6218.2
47606,31-03-2015,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,38,"Plumbers and Pipefitters, Local 38",7349,Steamfitter Supervisor I,110380.8,12071.55,4288.33,126740.68
21340,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2905,Senior Eligibility Worker,67859.19,6739.65,2021.76,76620.6
53678,31-03-2013,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",1406,Senior Clerk,19402.8,0,2284.71,21687.51
23526,31-03-2016,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2314,Public Health Team Leader,55188,0,3260.69,58448.69
28246,31-03-2013,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H002,Firefighter,130364.01,0,7821.84,138185.85
5918,31-03-2017,4,Community Health,DPH,DPH Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1052,IS Business Analyst,83016.2,0,0,83016.2
16139,31-03-2016,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q004,Police Officer 3,120440.59,5144.07,13890.74,139475.4
51544,31-03-2014,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q004,Police Officer 3,119355.44,72870.55,8914.56,201140.55
7841,31-03-2013,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q004,Police Officer 3,103957.23,9431.01,12933.6,126321.84
20366,31-03-2016,6,General Administration & Finance,CPC,CPC City Planning,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5291,Planner 3,70103.75,0,0,70103.75
52438,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,65298.32,10210.17,429.69,75938.18
2608,31-03-2014,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",9910,Public Service Trainee,3138.03,0,67.87,3205.9
47292,31-03-2013,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5203,Asst Engr,64456.73,0,0,64456.73
34699,31-03-2014,5,Culture & Recreation,WAR,WAR War Memorial,16,"Theatrical and Stage Employees, Local 16",7377,Stage Electrician,4437.4,0,0,4437.4
35339,31-03-2013,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2586,Health Worker 2,30382.36,282.02,0,30664.38
1558,31-03-2016,1,Public Protection,ADP,ADP Adult Probation,351,Municipal Executive Association - Miscellaneous,923,Manager II,48013,0,13312.39,61325.39
48147,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,130,"Automotive Machinists, Local 1414",7381,Automotive Mechanic,85982,13181,8967.34,108130.34
37798,31-03-2013,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H003,EMT/Paramedic/Firefighter,108466.08,25090.48,7564.67,141121.23
8899,31-03-2015,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,7928.24,0,56.8,7985.04
5993,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,261,"Laborers, Local 261",7540,Track Maintenance Worker,36626.97,8715.42,1547.41,46889.8
46917,31-03-2013,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2303,Patient Care Assistant,26924,770.7,17.78,27712.48
15716,31-03-2017,6,General Administration & Finance,CAT,CAT City Attorney,311,Municipal Attorneys' Association,8177,Attorney (Civil/Criminal),157315.54,0,1500,158815.54
55047,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,1,Miscellaneous Unrepresented Employees,9916,Public Svc Aide-Public Works,6229.74,0,0,6229.74
48061,31-03-2017,4,Community Health,DPH,DPH Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2591,Health Program Coordinator 2,79316.14,0,0,79316.14
53575,31-03-2013,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,47675.42,0,10996.71,58672.13
19483,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,69740.41,54065.5,6550.65,130356.56
55380,31-03-2017,1,Public Protection,CRT,CRT Superior Court,933,Court Unrepresented Bench Officers,990C,Superior Court Judge,9499.99,0,8168.7,17668.69
22026,31-03-2015,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3209,Swimming Instructor,5097.17,0,17.62,5114.79
11128,31-03-2016,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5380,"Stdntdsgntrain1, Arch/Eng/Plng",5672.1,0,0,5672.1
43610,31-03-2015,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2586,Health Worker 2,60787.01,0,1400,62187.01
16527,31-03-2015,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2930,Psychiatric Social Worker,79359.61,0,0,79359.61
8677,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,39,"Stationary Engineers, Local 39",7334,Stationary Engineer,87127.2,63368.18,12229.23,162724.61
22157,31-03-2013,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,351,Municipal Executive Association - Miscellaneous,941,Manager VI,163100,0,0,163100
50821,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",8214,Parking Control Officer,19904.9,490.85,403.62,20799.37
43213,31-03-2013,2,"Public Works, Transportation & Commerce",PRT,PRT Port,351,Municipal Executive Association - Miscellaneous,953,Dep Dir III,169099.99,0,0,169099.99
48349,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",8214,Parking Control Officer,56758.02,3740.55,705.53,61204.1
30847,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",7457,Sign Worker,61864.23,0,0,61864.23
54517,31-03-2014,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2830,Public Health Nurse,0,0,0,0
20576,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,790,"SEIU - Miscellaneous, Local 1021",1404,Clerk,46980.29,0,0,46980.29
47962,31-03-2017,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q052,Sergeant 3,145509.69,41452.01,17277.64,204239.34
9554,31-03-2014,1,Public Protection,FIR,FIR Fire Department,799,"Firefighters - Chiefs/Fire Boat Workers, Local 798",H040,"Battlion Chief, Fire Suppressi",181157.23,81647.9,38362.15,301167.28
4444,31-03-2014,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,261,"Laborers, Local 261",7215,General Laborer Supervisor 1,2779.7,0,0,2779.7
50565,31-03-2016,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5504,Project Manager 2,1665,0,0,1665
15951,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,67731.57,17062.88,3489.81,88284.26
6029,31-03-2013,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,790,"SEIU - Miscellaneous, Local 1021",1450,Executive Secretary 1,69472,0,1411.5,70883.5
35177,31-03-2016,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,713.9,0,0,713.9
37923,31-03-2016,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2913,Program Specialist,87574.28,0,629.4,88203.68
2224,31-03-2015,1,Public Protection,SHF,SHF Sheriff,790,"SEIU - Miscellaneous, Local 1021",8108,Senior Legal Process Clerk,16966.56,606.23,735.8,18308.59
753,31-03-2016,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q003,Police Officer 2,118886.42,17167.77,23027.32,159081.51
55838,31-03-2015,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,39,"Stationary Engineers, Local 39",7334,Stationary Engineer,82991.72,0,2659.06,85650.78
35469,31-03-2013,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,261,"Laborers, Local 261",7514,General Laborer,18535.48,35.53,0,18571.01
39546,31-03-2016,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,21,"Prof & Tech Engineers - Miscellaneous, Local 21",6318,Construction Inspector,27601.6,4927.85,1853.66,34383.11
655,31-03-2013,6,General Administration & Finance,ASR,ASR Assessor / Recorder,790,"SEIU - Miscellaneous, Local 1021",4215,Asr Senior Office Specialist,45006.84,0,0,45006.84
9769,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,61335.29,11263.96,4078.72,76677.97
29656,31-03-2017,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H002,Firefighter,116099.51,10492.79,11327.01,137919.31
11874,31-03-2014,2,"Public Works, Transportation & Commerce",PRT,PRT Port,930,Building Inspectors' Association - Inspectors,6331,Building Inspector,111161.9,0,5579.83,116741.73
12356,31-03-2014,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2430,Medical Evaluations Assistant,12792.3,82.39,216.43,13091.12
43497,31-03-2014,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2586,Health Worker 2,58096.65,0,250,58346.65
53942,31-03-2015,1,Public Protection,ECD,DEM Emergency Management,790,"SEIU - Miscellaneous, Local 1021",8238,Public Safetycomm Disp,92430.7,1985.46,10968.26,105384.42
18873,31-03-2015,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q003,Police Officer 2,108267.87,0,761.55,109029.42
31883,31-03-2017,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q002,Police Officer,86418.21,2045.43,7376.19,95839.83
21914,31-03-2017,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2409,Pharmacy Technician,83879.83,2095.63,3909.92,89885.38
23285,31-03-2017,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5602,Utility Specialist,50197.5,0,1080.28,51277.78
10573,31-03-2014,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,111269.44,0,10504.02,121773.46
12458,31-03-2017,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2930,Psychiatric Social Worker,40012.8,0,428.24,40441.04
32615,31-03-2015,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,790,"SEIU - Miscellaneous, Local 1021",9234,Airport Security ID Technician,4012,0,40.8,4052.8
40766,31-03-2014,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q004,Police Officer 3,117411.9,1625.58,6736.42,125773.9
40081,31-03-2016,1,Public Protection,POL,POL Police,790,"SEIU - Miscellaneous, Local 1021",9209,Community Police Services Aide,29423.41,0,722.92,30146.33
11897,31-03-2014,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5211,Eng/Arch/Landscape Arch Sr,25837.43,0,0,25837.43
23796,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2905,Senior Eligibility Worker,37218.51,39.66,700,37958.17
34954,31-03-2017,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,39,"Stationary Engineers, Local 39",7343,"Sr Statnry Eng, Wtr Treat Plnt",112614.15,21215.29,15419.1,149248.54
12146,31-03-2013,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2430,Medical Evaluations Assistant,51312.21,191.04,2011.57,53514.82
28278,31-03-2017,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2905,Senior Eligibility Worker,54729.92,340.92,1520,56590.84
34913,31-03-2016,2,"Public Works, Transportation & Commerce",DBI,DBI Building Inspection,790,"SEIU - Miscellaneous, Local 1021",1406,Senior Clerk,49411.17,112.92,0,49524.09
33538,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,53569.64,17184.92,12824.37,83578.93
54192,31-03-2013,1,Public Protection,POL,POL Police,790,"SEIU - Miscellaneous, Local 1021",1408,Principal Clerk,69472,0,624.01,70096.01
44843,31-03-2017,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5241,Engineer,144019.98,0,0,144019.98
44928,31-03-2014,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,4999.62,0,244.32,5243.94
55092,31-03-2013,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,5390.6,0,1067.48,6458.08
19716,31-03-2014,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,38,"Plumbers and Pipefitters, Local 38",7347,Plumber,96446.41,0,3652.98,100099.39
37867,31-03-2013,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1823,Senior Administrative Analyst,22073.99,0,0,22073.99
6355,31-03-2013,6,General Administration & Finance,ASR,ASR Assessor / Recorder,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1824,Pr Administrative Analyst,70788.27,0,2773.4,73561.67
5338,31-03-2013,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2904,Human Services Technician,14557.5,1246.49,0,15803.99
53044,31-03-2017,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,580,"Cement Masons, Local 300",7398,Apprentice Cement Mason I,39198.58,296.01,0,39494.59
8670,31-03-2013,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,38,"Plumbers and Pipefitters, Local 38",7317,Senior Water Service Inspector,110396.06,4299.1,0,114695.16
3671,31-03-2016,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2467,Diagnostic Imaging Tech I,28774.96,0,2709.84,31484.8
11211,31-03-2014,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,6,"Electrical Workers, Local 6",7345,Electrician,93249.3,14191.14,1011.41,108451.85
39040,31-03-2014,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,81705.43,203.74,6626.07,88535.24
19639,31-03-2017,5,Culture & Recreation,LIB,LIB Public Library,790,"SEIU - Miscellaneous, Local 1021",3602,Library Page,24993.28,0,282.59,25275.87
4746,31-03-2015,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,11118.15,0,104.52,11222.67
22063,31-03-2014,1,Public Protection,POL,POL Police,790,"SEIU - Miscellaneous, Local 1021",9209,Community Police Services Aide,64748.25,468.98,3676.32,68893.55
50106,31-03-2013,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,2696.02,0,33.34,2729.36
4948,31-03-2016,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,1,Miscellaneous Unrepresented Employees,9916,Public Svc Aide-Public Works,8526.75,0,246.67,8773.42
38659,31-03-2015,6,General Administration & Finance,CAT,CAT City Attorney,311,Municipal Attorneys' Association,8177,Attorney (Civil/Criminal),133583.3,0,1437.5,135020.8
49379,31-03-2016,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,3385.2,0,135.2,3520.4
32308,31-03-2013,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2430,Medical Evaluations Assistant,43819.96,10.11,250,44080.07
3896,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,6,"Electrical Workers, Local 6",7371,Electrical Transit System Mech,79222,18853.39,12997.04,111072.43
35701,31-03-2015,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,102116.69,1886.61,21962.42,125965.72
9202,31-03-2013,3,Human Welfare & Neighborhood Development,CSS,CSS Child Support Services,790,"SEIU - Miscellaneous, Local 1021",8158,Child Support Officer II,1390.23,0,0,1390.23
22166,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,36578.82,2048.03,1452.75,40079.6
44144,31-03-2016,4,Community Health,DPH,DPH Public Health,38,"Plumbers and Pipefitters, Local 38",7347,Plumber,103296.51,890.36,0,104186.87
28820,31-03-2016,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5261,Architectural Assistant 2,39837.92,0,0,39837.92
15766,31-03-2015,2,"Public Works, Transportation & Commerce",PRT,PRT Port,34,"Pile Drivers, Local 34",9330,Pile Worker,90964.7,0,24,90988.7
20850,31-03-2014,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H002,Firefighter,112703.79,6921.68,10423.27,130048.74
36424,31-03-2013,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2328,Nurse Practitioner,34139,0,250,34389
56782,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,65413.35,15283.03,4240.98,84937.36
22168,31-03-2015,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,13612.63,0,171.8,13784.43
14142,31-03-2013,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1824,Pr Administrative Analyst,98469.52,0,0,98469.52
7272,31-03-2016,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1094,IT Operations Support Admin IV,33992.89,0,0,33992.89
28978,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,130,"Automotive Machinists, Local 1414",7249,Automotive Mechanic Sprv 1,56817.98,15633.89,7561.47,80013.34
31118,31-03-2015,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,38,"Plumbers and Pipefitters, Local 38",7347,Plumber,62364.6,10633.35,598,73595.95
33939,31-03-2014,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,790,"SEIU - Miscellaneous, Local 1021",1632,Senior Account Clerk,53233.33,0,0,53233.33
21726,31-03-2013,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2708,Custodian,50766.8,109.17,873.45,51749.42
48319,31-03-2017,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,23422.75,0,2427.71,25850.46
45694,31-03-2013,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,790,"SEIU - Miscellaneous, Local 1021",1822,Administrative Analyst,82030,0,0,82030
46275,31-03-2013,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q003,Police Officer 2,121621.37,17642.07,9610.97,148874.41
35105,31-03-2014,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,2043.3,0,321.09,2364.39
30265,31-03-2015,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2604,Food Service Worker,9328.37,0,194.91,9523.28
9288,31-03-2014,1,Public Protection,DAT,DAT District Attorney,311,Municipal Attorneys' Association,8177,Attorney (Civil/Criminal),10942.4,0,0,10942.4
13146,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,63713.42,5231.78,628.59,69573.79
16380,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,790,"SEIU - Miscellaneous, Local 1021",1402,Junior Clerk,41406.7,0,1040,42446.7
40716,31-03-2015,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,351,Municipal Executive Association - Miscellaneous,942,Manager VII,180392.2,0,0,180392.2
40601,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,56427.69,24478.46,5033.51,85939.66
2813,31-03-2014,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,6,0,8410.99,8416.99
23635,31-03-2016,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",1630,Account Clerk,59559.89,0,629.1,60188.99
39979,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,6,"Electrical Workers, Local 6",7371,Electrical Transit System Mech,81258.42,49033.37,5649.1,135940.89
18503,31-03-2016,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,106463.5,0,7080.21,113543.71
6016,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,6,"Electrical Workers, Local 6",7371,Electrical Transit System Mech,86524.21,18243.63,12682.12,117449.96
46579,31-03-2016,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2574,Clinical Psychologist,106708.13,0,0,106708.13
38525,31-03-2015,5,Culture & Recreation,WAR,WAR War Memorial,790,"SEIU - Miscellaneous, Local 1021",8207,Bldg & Grounds Patrol Officer,62133.82,1016.91,6538.71,69689.44
44869,31-03-2013,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,790,"SEIU - Miscellaneous, Local 1021",1324,Customer Service Agent,46505.92,11.47,4048.65,50566.04
3293,31-03-2014,1,Public Protection,JUV,JUV Juvenile Probation,790,"SEIU - Miscellaneous, Local 1021",8320,"Counselor, Juvenile Hall",10588.51,833.52,8.9,11430.93
